WORD	PHONETICS
deficient	dɪfɪʃənt
manliness	mænlinəs
genitive	dʒɛnətɪv
uncontrollable	ʌnkəntroʊləbəl
ask	æsk
gallery	gæləri
calcite	kælsaɪt
consistory	kənsɪstəri
civilize	sɪvəlaɪz
idly	aɪdli
bodice	bɒdɪs
finally	faɪnəli
caption	kæpʃən
not	nɒt
clearer	klɪrər
attenuation	ətenueɪʃən
require	rɪkwaɪər
prairie	prɛri
stout	staʊt
blusterous	blʌstərəs
peat	pit
apprehensible	æprɪhɛnsəbəl
trepidation	trɛpɪdeɪʃən
chair	tʃɛr
stay	steɪ
apartment	əpɑrtmənt
interchangeable	ɪntərtʃeɪndʒəbəl
electrical	ɪlɛktrɪkəl
neutralize	nutrəlaɪz
tree	tri
navy	neɪvi
resuscitate	rɪsʌsɪteɪt
concomitant	kənkɒmɪtənt
scenery	sinəri
clause	klɔz
perspire	pərspɑɪər
aback	əbæk
plaint	pleɪnt
auburn	ɔbərn
counterpane	kaʊntərpeɪn
another	ənʌðər
fur	fɜr
rareness	rɛərnəs
afflux	æflʌks
veneer	vənɪr
dip	dɪp
incredulous	ɪnkrɛdʒələs
tube	tub
hearty	hɑrti
bequest	bɪkwɛst
frugality	frugælɪti
develop	dɪvɛləp
fanaticism	fənætɪsɪzəm
manageable	mænɪdʒəbəl
malleation	mæliˌeɪʃən
carbon	kɑrbən
hymen	haɪmən
magnetic	mægnɛtɪk
pertinent	pɜrtənənt
haughtiness	hɔtinəs
lapse	læps
reunion	riˌjunjən
flange	flændʒ
apathy	æpəθi
greasiness	grisɪnəs
brawny	brɔni
precious	prɛʃəs
cushion	kʊʃən
inability	ɪnəbɪləti
servitude	sɜrvɪtud
denial	dɪnaɪəl
victor	vɪktər
continue	kəntɪnju
intelligent	ɪntɛlɪdʒənt
proposal	prəpoʊzəl
nippers	nɪpərz
rebuild	ribɪld
insanity	ɪnsænəti
abode	əboʊd
parenthood	pɛrənthʊd
satchel	sætʃəl
subjugation	səbdʒʊgeɪʃən
bureaucratic	bjʊroʊkrætɪk
ragged	rægɪd
perviousness	pɜrvijəsnəs
clew	klu
veterinary	vɛtərɪnɛri
pleasantness	plɛzəntnəs
swindle	swɪndəl
blast	blæst
chirologist	kaɪrɑlədʒɪst
stationer	steɪʃənər
unfeigned	ʌnfeɪnd
inaptitude	ɪnæptɪtud
copyist	kɑpiɪst
colorless	kʌlərləs
giddiness	gɪdinəs
wherewithal	wɛrwɪðɔl
propulsion	prəpʌlʃən
causal	kɔzəl
amicability	æmɪkəbɪləti
innumerable	ɪnumərəbəl
mortar	mɔrtər
preponderate	prɪpɑndəreɪt
unload	ʌnloʊd
cost	kɑst
taciturn	tæsɪtɜrn
missionary	mɪʃənɛri
simplify	sɪmpləfaɪ
hence	hɛns
heresy	hɛrəsi
sultan	sʌltən
conservator	kənsɜrvətər
island	aɪlənd
considerate	kənsɪdərət
shout	ʃaʊt
intelligence	ɪntɛlɪdʒəns
individual	ɪndəvɪdʒuəl
ejectment	ɪdʒɛktmənt
elder	ɛldər
cogitability	kɑdʒɪtəbɪləti
coat	koʊt
consolidate	kənsɑlɪdeɪt
unanswered	ʌnænsərd
brawl	brɔl
perilous	pɛrələs
pool	pul
voracious	vəreɪʃəs
clout	klaʊt
cake	keɪk
outfit	aʊtfɪt
reimburse	riɪmbɜrs
trillium	trɪliəm
diadem	daɪədem
mistaken	mɪsteɪkən
mettle	metəl
frangible	frændʒəbəl
simplicity	sɪmplɪsəti
sway	sweɪ
scorch	skɔrtʃ
test	test
sized	saɪzd
lexicon	leksɪkɑn
diverse	daɪvɜrs
fondle	fɑndəl
clay	kleɪ
dodger	dɑdʒər
melodious	məloʊdiəs
rhetorician	retərɪʃən
worse	wɜrs
conductivity	kɑndʌktɪvəti
idleness	aɪdəlnəs
colicky	kɑlɪki
mumble	mʌmbəl
teeth	tiθ
often	ɔfən
lavender	lævəndər
loiter	lɔɪtər
salute	səlut
stigmatize	stɪgmətaɪz
orphanhood	ɔrfənhʊd
waive	weɪv
faithless	feɪθləs
monstrosity	mɑnstrɑsəti
film	fɪlm
canny	kæni
respecter	rɪspektər
amplification	æmplɪfɪkeɪʃən
mackintosh	mækɪntɑʃ
treachery	tretʃəri
torturous	tɔrtʃərəs
subacid	sʌbæsɪd
noncontent	nɑnkəntent
harmony	hɑrməni
beatification	biætɪfɪkeɪʃən
extract	ekstrækt
architectual	ɑrkɪtektʃuəl
festoon	festun
censor	sensər
magin	meɪdʒɪn
mandolin	mændəlɪn
suit	sut
mutton	mʌtn
polo	poʊloʊ
concurrence	kənkɜrəns
agriculture	ægrɪkʌltʃər
glad	glæd
unctuous	ʌŋktʃuəs
precocious	prɪkoʊʃəs
recognizable	rɛkəgnaɪzəbl
rheumatic	ruːmætɪk
grieve	griv
appropriate	əproʊpriət
recapitulate	rikəpɪtʃuleɪt
crude	krud
souvenir	suvənɪr
illuminator	ɪluməneɪtər
pedigree	pɛdəgri
masonic	məsɑnɪk
trisyllable	traɪsɪləbl
fuchsia	fjuʃə
twaddle	twɑdl
huskiness	hʌskinəs
indemnity	ɪndɛmnəti
correlation	kɔrəleɪʃən
neither	niðər
put	pʊt
stake	steɪk
acute	əkjut
lip	lɪp
vitriolation	vɪtriəleɪʃən
palsy	pɔlzi
among	əmʌŋ
countermarch	kaʊntərmɑrtʃ
archive	ɑrkaɪv
suffice	səfaɪs
cloud	klaʊd
admire	ædmaɪər
yelp	jɛlp
bouquet	bukeɪ
eastward	istword
diagnostic	daɪəgnɑstɪk
much	mʌtʃ
delicate	dɛlɪkət
mintage	mɪntɪdʒ
untranslatable	ʌntrænsleɪtəbl
syndicate	sɪndɪkət
needful	nidfəl
she	ʃi
woodman	wʊdmən
chirographic	kaɪrəɡræfɪk
contour	kɑntʊr
underneath	ʌndərniθ
think	θɪŋk
apology	əpɑlədʒi
tendon	tɛndən
preemption	priɛmpʃən
contractile	kəntræktaɪl
ruinous	ruɪnəs
colloquialism	kəloʊkwiəlɪzəm
trichina	trɪkaɪnə
interject	ɪntərdʒɛkt
underground	ʌndərɡraʊnd
reflector	rɪflɛktər
aptitude	æptɪtud
fed	fɛd
mobilization	moʊbəlaɪzeɪʃən
triunity	traɪjunɪti
visitation	vɪzɪteɪʃən
unpleasant	ʌnplɛzənt
letterpress	lɛtərprɛs
biliteral	baɪlɪtərəl
letterhead	lɛtərɛd
contralto	kəntræltoʊ
manor	mænər
penetrable	pɛnətrəbəl
cataphonics	kætəfɑnɪks
wistful	wɪstfəl
contriteness	kəntraɪtnəs
picturesque	pɪktʃərɛsk
successive	səksɛsɪv
palpitate	pælpɪteɪt
bigger	bɪɡər
synchronize	sɪŋkrənaɪz
usury	juʒəri
busy	bɪzi
flake	fleɪk
alabaster	æləbæstər
centuplicate	sɛntuplɪkeɪt
buoyant	bɔɪənt
puzzler	pʌzlər
cleanser	klɛnzər
dime	daɪm
crinkle	krɪŋkəl
pace	peɪs
shuffle	ʃʌfəl
dolorous	dɑlərəs
circumfusion	sərkəmfjuʒən
platitude	plætɪtud
resolute	rɛzəlut
flimsy	flɪmzi
cinnamon	sɪnəmən
warn	wɔrn
yard	jɑrd
residence	rɛzɪdəns
interfere	ɪntərfɪr
circulate	sɜrkjuleɪt
disappear	dɪsəpɪr
averse	əvɜrs
refusable	rɪfjuzəbəl
deepen	dipən
research	risɜrtʃ
dissolution	dɪsəluʃən
early	ɜrli
surveillance	sərveɪləns
disinfect	dɪsɪnfɛkt
derail	dirɛl
wary	wɛri
tangent	tændʒənt
miraculous	mɪrækjələs
registrar	rɛdʒɪstrɑr
sherry	ʃɛri
tournequet	tʊrnɪkeɪ
reachable	ritʃəbəl
arithmetical	ærɪθmɛtɪkəl
centime	sɑntim
indivisible	ɪndɪvɪzəbəl
canticle	kæntɪkəl
calligraphic	kəlɪgræfɪk
collectorship	kəlɛktərʃɪp
brutal	brutəl
accomplishment	əkɑmplɪʃmənt
avoidance	əvɔɪdəns
uninformed	ʌnɪnfɔrmd
quart	kwɔrt
substitution	sʌbstɪtuʃən
infraction	ɪnfrækʃən
vinculum	vɪŋkjələm
psychical	saɪkɪkəl
bulk	bʌlk
justifiable	dʒʌstɪfaɪəbəl
renegade	rɛnəgeɪd
furor	fjʊrɔr
pistol	pɪstəl
scornful	skɔrnfəl
glucose	glukos
stead	stɛd
socialism	soʃəlɪzəm
contaminative	kəntæmɪneɪtɪv
inconsiderate	ɪnkənˌsɪdərət
button	bʌtn
impassible	ɪmˈpæsəbl
metaphysics	mɛtəˈfɪzɪks
flask	flæsk
treacle	trikl
wan	wɑn
illusive	ɪˈlusɪv
indorser	ɪnˈdɔrsər
fraternity	frəˈtɜrnəti
uncomfortable	ʌnˈkʌmftəbl
sourness	saʊrnəs
ornithological	ɔrnəθəˈlɑdʒɪkl
conjunction	kənˈdʒʌŋkʃən
acquirement	əˈkwaɪərmənt
badge	bædʒ
brightness	braɪtnəs
italian	ɪˈtæljən
abate	əˈbeɪt
crabine	ˈkræbaɪn
gout	gaʊt
generous	ˈdʒɛnərəs
extraneous	ɪkˈstreɪniəs
hint	hɪnt
desecrate	ˈdɛsəkreɪt
tumor	ˈtumər
menace	ˈmɛnəs
explosion	ɪkˈsploʊʒən
fledge	flɛdʒ
occupy	ˈɑkjəpaɪ
commandant	ˈkɑmənˌdænt
discerner	dɪˈsɜrnər
injuries	ˈɪndʒəriz
devise	dɪˈvaɪz
thus	ðʌs
abstemiousness	əbˈstimiəsnəs
sociability	soʊʃəˈbɪləti
disport	dɪˈspɔrt
adhere	ædˈhɪr
inquisitiveness	ɪnˈkwɪzətɪvnəs
argot	ˈɑrgoʊ
shekel	ˈʃɛkəl
illogical	ɪˈlɑdʒɪkəl
forerunner	ˈfɔrˌrʌnər
tumult	ˈtumʌlt
charcoal	ˈtʃɑrkoʊl
shake	ʃeɪk
stage	steɪdʒ
instinct	ˈɪnstɪŋkt
rectification	rɛktəfəˈkeɪʃən
magician	mədʒɪʃən
project	prɑdʒɛkt
senator	sɛnətər
anvil	ænvɪl
multiformity	mʌltɪfɔrmɪti
provender	prɑvəndər
deodorize	diɔdəraɪz
appraise	əpreɪz
tassel	tæsəl
garnishee	gɑrnɪʃi
sickle	sɪkəl
intractable	ɪntræktəbəl
doctrine	dɑktrɪn
vowel	vaʊəl
dower	daʊər
yawl	jɔl
participator	pɑrtɪsɪpeɪtər
payer	peɪər
newspaper	nuzpeɪpər
disinherit	dɪsɪnhɛrɪt
pageantry	pædʒəntri
culprit	kʌlprɪt
manage	mænɪdʒ
detraction	dɪtrækʃən
flotsam	flɑtsəm
whole	hoʊl
vessel	vɛsəl
table	teɪbəl
westward	wɛstwərd
guinea	gɪni
golf	gɑlf
consignation	kɑnsɪgneɪʃən
cavernous	kævərnəs
ream	rim
boom	bum
hostage	hɑstɪdʒ
rage	reɪdʒ
hectograph	hɛktəgræf
invalidation	ɪnvælɪdeɪʃən
label	leɪbəl
inhabitant	ɪnhæbɪtənt
trustee	trʌsti
chamois	ʃæmi
uncouth	ʌnkuθ
detective	dɪtɛktɪv
niece	nis
allot	əlɑt
stream	strim
retort	rɪtɔrt
needlework	nidəlwərk
oak	oʊk
canopy	kænəpi
gentile	dʒɛntaɪl
plumber	plʌmər
refute	rɪfjut
woodland	wʊdlənd
vaudeville	vɔdəvɪl
farthest	fɑrðɪst
augment	ɔgmɛnt
thrush	θrʌʃ
transformer	trænsfɔrmər
floss	flɔs
trapezoid	træpəzɔɪd
strife	straɪf
lynch	lɪntʃ
bravo	brɑvoʊ
legacy	lɛgəsi
onerous	ɑnərəs
mosaic	moʊzeɪɪk
pillar	pɪlər
similitude	sɪmɪlətud
impressionable	ɪmprɛʃənəbəl
inexorability	ɪnɛksərəbɪləti
modification	mɑdəfəkeɪʃən
veinless	veɪnləs
anger	æŋgər
condole	kəndoʊl
potential	pətɛnʃəl
photographer	fətɑgrəfər
tautology	tɔtɑlədʒi
success	səksɛs
universe	junəvɜrs
reasonless	rizənləs
foreshadow	fɔrʃædoʊ
national	næʃənəl
jangle	dʒæŋgəl
floor	flɔr
open	oʊpən
preen	prin
consistency	kənsɪstənsi
interleave	ɪntərliv
compression	kəmprɛʃən
incumbency	ɪnkʌmbənsi
phonic	fɑnɪk
forewoman	fɔrwʊmən
grammarian	grəmɛriən
feverish	fivrɪʃ
abscond	æbskɑnd
sphere	sfɪr
shack	ʃæk
ourselves	aʊəsɛlvz
complacency	kəmpleɪsənsi
lessee	lɛsi
disagreement	dɪsəgrimənt
topical	tɑpɪkəl
coquetry	koʊkɛtri
ivy	aɪvi
churn	tʃɜrn
racy	reɪsi
neologism	niɑləʤɪzəm
toad	toʊd
carnelian	kɑrniləən
limitation	lɪmɪteɪʃən
antithesis	æntɪθəsɪs
calculation	kælkjəleɪʃən
dilute	daɪlut
mysterious	mɪstɪriəs
pansy	pænzi
lottery	lɑtəri
rather	ræðər
skip	skɪp
lackadaisical	lækədeɪzɪkəl
melee	meɪleɪ
materialistic	mətɪriəlɪstɪk
east	ist
calorific	kæləɹɪfɪk
prudential	pruɛnʃəl
undergrowth	ʌndəɹgɹoʊθ
symposium	sɪmpoʊziəm
edge	ɛʤ
infringement	ɪnfrɪnʤmənt
gerund	ʤɛrənd
giblet	ʤɪblət
pewter	pjutər
perpendicular	pɜrpəndɪkjələr
crony	kɹoʊni
mountaineer	maʊntənɪr
patriot	peɪtriət
lozenage	lɑzənɪʤ
songster	sɑŋstər
maniac	meɪniæk
culminate	kʌlmɪneɪt
torso	tɔrsoʊ
omnipresence	ɑmnɪprɛzəns
subdivide	sʌbdɪvaɪd
abandonment	əbændənmənt
peach	pitʃ
drudge	drʌʤ
tartness	tɑrtnəs
vortical	vɔrtɪkəl
upper	ʌpər
cuban	kjubən
hut	hʌt
siege	sidʒ
mounted	maʊntɪd
opportune	ɑpərtun
sureness	ʃʊərnəs
circumference	sərkʌmfərəns
reception	rɪsɛpʃən
mechanician	mɛkənɪʃən
listless	lɪstləs
delusive	dɪlusɪv
abysmal	əbɪzməl
acme	ækmi
koshar	koʊʃər
presumedly	prɪzumɪdli
nudge	nʌdʒ
handkerchief	hæŋkərtʃɪf
clansman	klænzmən
nook	nʊk
rattle	rætəl
faultless	fɔltləs
addendum	ədɛndəm
verity	vɛrɪti
waffle	wɑfəl
leather	lɛðər
systematize	sɪstəmətaɪz
seclude	sɪklud
maul	mɔl
arboreal	ɑrbɔriəl
penetential	pɛnɪtɛnʃəl
interrogation	ɪntɛrəgeɪʃən
subtraction	səbtræktʃən
resplendent	rɪsplɛndənt
memoranda	mɛmərændə
talent	tælənt
dance	dæns
foyer	fɔɪər
jostle	dʒɑsəl
astral	æstrəl
shawl	ʃɔl
stupid	stupɪd
mass	mæs
operate	ɑpəreɪt
bellicose	bɛlɪkoʊs
posthaste	poʊstheɪst
dynamic	daɪnæmɪk
pencil	pɛnsəl
overlook	oʊvərlʊk
hintingly	hɪntɪŋli
eccentric	ɛkˈsɛntrɪk
bivouac	ˈbɪvuwæk
forbearance	fɔrˈbɛrəns
obedience	oʊˈbidiəns
unclean	ʌnˈklin
haze	heɪz
reappoint	riəˈpɔɪnt
uncontrovertible	ʌnkɒntrəˈvɜrtəbəl
thoughtless	ˈθɔtləs
consume	kənˈsum
astride	əˈstraɪd
resistless	rɪˈzɪstləs
editorship	ˈɛdɪtərʃɪp
latitudenous	lætɪˈtudənəs
garden	ˈgɑrdən
tenure	ˈtɛnjər
clarinet	klærəˈnɛt
botanical	bəˈtænɪkəl
indebted	ɪnˈdɛtɪd
injunction	ɪnˈdʒʌŋkʃən
alienable	ˈeɪliənəbəl
godly	ˈgɒdli
conducent	kənˈdusənt
ambiguity	æmbɪˈgjuɪti
unreasonable	ʌnˈrizənəbəl
dilettante	dɪləˈtænti
along	əˈlɔŋ
centrally	ˈsɛntrəli
doomsday	ˈdumzdeɪ
precariousness	prɪˈkɛriəsnəs
electrician	ɪlɛkˈtrɪʃən
bodily	ˈbɒdɪli
suffuse	səˈfjuz
surname	ˈsɜrneɪm
grained	greɪnd
prearrange	priəˈreɪndʒ
fairy	ˈfɛri
reclusion	rɪˈkluʒən
automatic	ɔtəˈmætɪk
sprout	spraʊt
habitation	hæbɪˈteɪʃən
blench	blɛntʃ
brocade	broʊˈkeɪd
compulsatory	kəmˈpʌlsətɔri
fossil	ˈfɒsəl
heart	hɑrt
mammoth	ˈmæməθ
ultramontane	ʌltrəˈmɒnteɪn
viceversa	vaɪsəˈvɜrsə
ordination	ɔrdɪˈneɪʃən
tumblerful	tʌmblərfʊl
misbehave	mɪsbɪheɪv
combustibility	kəmbʌstəbɪləti
vermin	vɜrmɪn
unbend	ʌnbɛnd
ignobility	ɪgnəbɪləti
aeolian	iːoʊliən
taint	teɪnt
expire	ɪkspaɪər
trapdoor	træpdɔr
definite	dɛfənɪt
inclemency	ɪnklɛmənsi
bargain	bɑrgən
veil	veɪl
unlock	ʌnlɑk
solution	səluʃən
memento	məmɛntoʊ
observation	ɑbzərveɪʃən
sententious	sɛntɛnʃəs
tannic	tænɪk
candid	kændɪd
oasis	oʊeɪsɪs
dial	daɪəl
papal	peɪpəl
grub	grʌb
bohemian	boʊhimiən
cretonne	krətɑn
fudge	fʌdʒ
generalship	dʒɛnərəlʃɪp
convex	kɑnvɛks
smack	smæk
toque	toʊk
firmament	fɜrməmənt
mollification	mɑlɪfɪkeɪʃən
grudgingly	grʌdʒɪŋli
repair	rɪpɛr
commodity	kəmɑdəti
skirt	skɜrt
include	ɪnklud
insomnia	ɪnsɑmniə
seer	siər
divest	daɪvɛst
religiousness	rɪlɪdʒəsnəs
bath	bæθ
intrusion	ɪntruʒən
legislature	lɛdʒɪsleɪtʃər
effervesce	ɛfərvɛs
sacramental	sækrəmɛntəl
ungrateful	ʌngreɪtfəl
pristine	prɪstin
elasticity	ɪlæstɪsɪti
rubicund	rubɪkənd
plunder	plʌndər
chest	tʃɛst
diminutive	dɪmɪnjətɪv
declination	dɛklɪneɪʃən
accent	æksɛnt
northerner	nɔrðərnər
needle	nidəl
sonata	sənatə
sake	seɪk
treasonable	trizənəbəl
barley	barli
distress	dɪstrɛs
physical	fɪzɪkəl
gently	dʒɛntli
logically	ladʒɪkəli
synonym	sɪnənɪm
plane	pleɪn
pannir	pænɪr
algebraically	ældʒəbreɪɪkəli
matricide	mætrɪsaɪd
valedictory	vælədɪktəri
ceaseless	sislɪs
specification	spɛsɪfɪkeɪʃən
paradise	pærədaɪs
spaniel	spænjəl
imperishable	ɪmpɛrɪʃəbəl
harbinger	harbɪndʒər
sawdust	sɔdʌst
caoutchouc	kautʃuk
undisturbed	ʌndɪstɜrbd
saintlike	seɪntlaɪk
stuck	stʌk
hem	hɛm
moon	mun
forbidden	fərbɪdən
tintinnabulation	tɪntɪnæbjuleɪʃən
resemblance	rɪzɛmbləns
burial	bɛriəl
hybrid	haɪbrɪd
palatableness	pælətəbəlnɪs
weaver	wivər
benefaction	bɛnəfækʃən
surge	sɜrdʒ
annul	ənʌl
legislator	lɛdʒɪsleɪtər
notation	noteɪʃən
tartar	tartər
infection	ɪnfɛkʃən
fray	freɪ
under	ʌndər
acetylene	əsɛtəlin
repulsion	rɪpʌlʃən
autographic	ɔtəgræfɪk
nonconductor	nɑnkəndʌktər
cutlass	kʌtləs
hazel	heɪzəl
inorganic	ɪnɔrgænɪk
vivid	vɪvɪd
fanciful	fænsɪfəl
macron	meɪkrɑn
occupier	ɑkjupaɪər
splice	splaɪs
falsify	fɔlsɪfaɪ
wand	wɑnd
warehouse	wɛrhaʊs
shelf	ʃɛlf
wooden	wʊdən
bless	blɛs
sultry	sʌltri
fill	fɪl
paraffin	pærəfɪn
himself	hɪmsɛlf
infinite	ɪnfɪnɪt
nativity	nətɪvɪti
wind	wɪnd
annexation	ænɛkseɪʃən
tearless	tɪrlɛs
transformation	trænsfərmeɪʃən
odd	ɑd
expel	ɪkspɛl
grange	greɪndʒ
vicinage	vɪsɪnɪdʒ
receive	rɪsiv
canary	kəneɪri
serene	sərin
ultraism	ʌltrəɪzəm
soprano	səprɑnoʊ
calamitous	kəlæmɪtəs
rabid	ræbɪd
twill	twɪl
whimsical	wɪmzɪkəl
beech	bitʃ
volumescope	vɑljuməskoʊp
mustiness	mʌstinəs
yield	jild
three	θri
pharynx	færɪŋks
alibi	æləbaɪ
wrest	rɛst
subdistrict	sʌbdɪstrɪkt
attribute	ətrɪbjut
antecessor	æntɪsɛsər
mask	mæsk
hamper	hæmpər
prime	praɪm
sufferable	sʌfərəbəl
statesmanlike	steɪtsmənlaɪk
whatsoever	wʌtsəʊɛvər
felicitous	fəlɪsɪtəs
sectarianism	sɛktɛriənɪzəm
image	ɪmɪdʒ
drover	drəʊvər
scimitar	sɪmɪtər
beginner	bɪgɪnər
dangle	dæŋgəl
jewel	dʒuəl
appease	əpiz
bridle	braɪdəl
bungalow	bʌŋgələʊ
sabotage	sæbətɑʒ
muster	mʌstər
shrew	ʃru
conduce	kəndus
expiate	ɛkspieɪt
snappish	snæpɪʃ
chronicle	krɒnɪkəl
stevedore	stivədɔr
compare	kəmpɛr
resonant	rɛzənənt
red	rɛd
legitimate	lədʒɪtɪmət
confession	kənfɛʃən
incredulity	ɪnkrɪdulɪti
magnanimous	mægnænɪməs
luxuriance	lʌgʒʊriəns
stalagmite	stəlægmaɪt
satirical	sətɪrɪkəl
press	prɛs
magistarte	mædʒɪstreɪt
sheen	ʃin
boatswain	bəʊsən
botany	bɒtəni
paradoxical	pærədɒksɪkəl
imperfection	ɪmpərfɛkʃən
massive	mæsɪv
sequestered	sɪkwɛstərd
shepherd	ʃɛpərd
materialize	mətɪriəlaɪz
cede	sid
retractor	rɪtræktər
immobility	ɪməbɪləti
insurmountable	ɪnsərmaʊntəbəl
areometer	ɛriɑmətər
communication	kəmjunəkeɪʃən
metaphor	mɛtəfɔr
nugget	nʌgət
locomotion	loʊkəmoʊʃən
slimy	slaɪmi
compound	kɑmpaʊnd
blithesome	blaɪðsəm
exploit	ɛksplɔɪt
prefect	prifɛkt
idolatory	aɪdɑlətri
fine	faɪn
transfix	trænsfɪks
insincere	ɪnsɪnsɪr
missile	mɪsəl
less	lɛs
jockey	dʒɑki
elucidate	ɪlusɪdeɪt
tantalize	tæntəlaɪz
visitor	vɪzətər
piteous	pɪtiəs
cheat	tʃit
nocturnal	nɑktɜrnəl
insensate	ɪnsɛnseɪt
botanist	bɑtənɪst
organ	ɔrgən
golden	goʊldən
thunder	θʌndər
monitorial	mɑnətɔriəl
rhythmic	rɪðmɪk
sauciness	sɔsinəs
fox	fɑks
preeeminent	priɛmənənt
connection	kənɛkʃən
versus	vɜrsəs
unimportant	ʌnɪmpɔrtənt
dropsy	drɑpsi
immensity	ɪmɛnsəti
sateen	sætin
funnel	fʌnəl
novel	nɑvəl
newer	nuər
aglie	ædʒəl
philanthropist	fɪlænθrəpɪst
invert	ɪnvɜrt
hear	hɪr
captive	kæptɪv
participate	pɑrˌtɪsɪˌpeɪt
correlative	kəˌrɛləˌtɪv
county	kaʊnti
suspend	səˌspɛnd
pillager	ˌpɪlɪdʒər
dispense	dɪˌspɛns
old	oʊld
misprint	ˌmɪsˌprɪnt
jealous	ˌdʒɛləs
amalgamate	əˌmælgəˌmeɪt
remuneration	rɪˌmjunəˌreɪʃən
vestryman	ˌvɛstriˌmæn
fulcrum	ˌfʊlkrəm
progression	prəˌgrɛʃən
obstinate	ˌɑbstɪˌnət
relative	ˌrɛləˌtɪv
hardy	ˌhɑrdi
panorama	ˌpænəˌrɑmə
condone	kənˌdoʊn
declivity	dɪˌklɪvɪti
assignor	əˌsaɪnər
scribble	ˌskrɪbəl
superscribe	ˌsupərˌskraɪb
trigraph	ˌtraɪˌgræf
snore	snɔr
blackbird	ˌblækˌbɜrd
predispose	ˌpridɪˌspoʊz
ineffectiveness	ˌɪnɪˌfɛktɪvnəs
advantageous	ˌædvənˌteɪdʒəs
mouth	maʊθ
lawless	ˌlɔləs
lowly	ˌloʊli
who	hu
toughen	ˌtʌfən
article	ˌɑrtɪkəl
requisition	ˌrɛkwɪˌzɪʃən
nourishable	ˌnɜrɪʃəbəl
cogent	ˌkoʊdʒənt
vengeful	ˌvɛndʒfəl
forgotten	fərˌgɑtən
rumbler	ˌrʌmblər
subaltern	səˌbɔltərn
farther	ˌfɑrðər
pedestrian	pəˌdɛstriən
temper	ˌtɛmpər
consent	kənˌsɛnt
futile	ˌfjutl
quadruped	ˌkwɑdrəˌpɛd
tactility	tækˌtɪləti
veto	vito
jiggle	dʒɪgəl
lotion	loʃən
questionaire	kwɛstʃəneə
strawberry	strɔbɛri
quarrel	kwɔrəl
fragile	frædʒəl
palisade	pæləsed
haphazard	hæphæzərd
material	mətɪriəl
cuticle	kjutɪkəl
scandalous	skændələs
beak	bik
parasitical	pærəsɪtɪkəl
insane	ɪnsen
instance	ɪnstəns
millstone	mɪlston
sponginess	spʌndʒinəs
eddu	ɛdu
snug	snʌg
guerrilla	gərɪlə
explore	ɪksplɔr
apron	eprən
deficiency	dɪfɪʃənsi
serial	sɪriəl
spigot	spɪgət
toe	to
pawn	pɔn
mettlesome	mɛtəlsəm
needed	nidəd
eclipse	ɪklɪps
chirographer	kaɪrɑgrəfər
despoil	dɪspɔɪl
mathematical	mæθəmætɪkəl
bicentenary	baɪsɛntɛnəri
carbonic	kɑrbɑnɪk
deportment	dɪpɔrtmənt
lemon	lɛmən
sweeten	switən
profane	profen
improvident	ɪmprɑvɪdənt
merger	mɜrdʒər
tranquility	træŋkwɪləti
crimp	krɪmp
repeat	rɪpit
scrutiny	skrutəni
season	sizən
reprisal	rɪpraɪzəl
indelible	ɪndɛləbəl
decorative	dɛkərətɪv
manacle	mænəkəl
cognizable	kɒɡnaɪzəbəl
reservedly	rɪzɜrvɪdli
measure	mɛʒər
antipodal	ænˈtɪpədəl
cartel	kɑrtɛl
diversion	daɪvɜrʒən
tokay	tokeɪ
sacrament	sækrəmənt
cubist	kjubɪst
searcher	sɜrtʃər
odious	odiəs
reparation	rɛpəreɪʃən
pliant	plaɪənt
performance	pərfɔrməns
intercourse	ɪntərkɔrs
christlike	kraɪstlaɪk
indebtedness	ɪndɛtɪdnəs
preempt	priɛmpt
connotate	kɒnəteɪt
trounce	traʊns
palatability	pælətəbɪləti
confessor	kənfɛsər
tang	tæŋ
haggle	hæɡəl
impossibility	ɪmpɒsəbɪləti
scold	skold
lunge	lʌndʒ
chain	tʃeɪn
curse	kɜrs
stove	stov
immorality	ɪməræləti
vermiculate	vərmɪkjəleɪt
shellfish	ʃɛlfɪʃ
welcomer	wɛlkəmər
counterfeit	kaʊntərfɪt
unexceptional	ʌnɪksɛpʃənəl
eleemosynary	ɛlimoʊsənɛri
reaper	ripər
deceptive	dɪsɛptɪv
inquest	ɪnkwɛst
fall	fɔl
confabulatory	kənfæbjələtɔri
pacification	pæsɪfɪkeɪʃən
protuberance	protuberəns
retrospection	rɛtrospɛkʃən
chimerical	kaɪmɛrɪkəl
antidote	æntɪdot
parachute	pærəʃut
spice	spaɪs
elementary	ɛləmɛntəri
mutuality	mjutuæləti
disparity	dɪspærəti
mainland	meɪnlænd
conjugation	kɑndʒəgeɪʃən
comprehensive	kɑmprɪhɛnsɪv
maple	meɪpəl
accessiblility	æksɛsəbɪləti
rhythm	rɪðəm
thimble	θɪmbəl
bay	beɪ
hypnotic	hɪpnɑtɪk
retard	rɪtɑrd
inscription	ɪnskrɪpʃən
frightful	fraɪtfəl
cannot	kænɑt
russet	rʌsət
collate	kəleɪt
dentistry	dɛntɪstri
devolve	dɪvɑlv
congeal	kəndʒil
quire	kwaɪər
helplessness	hɛlpləsnəs
gypsum	dʒɪpsəm
device	dɪvaɪs
believer	bɪlivər
grin	grɪn
adjustable	ədʒʌstəbəl
